GPS,version=1,hw_revision=1,timescale=1000000
Type,Mode,Timestamp(sec),Latitude,Longitude,Altitude,Speed(m/s),Bearing,Accuracy
5,1,0.827,0,0,0,0,0,0
5,1,1.835,0,0,0,0,0,0
5,1,2.84,0,0,0,0,0,0
5,1,3.849,0,0,0,0,0,0
5,1,4.873,0,0,0,0,0,0
5,1,5.891,0,0,0,0,0,0
5,1,6.918,0,0,0,0,0,0
5,1,7.924,0,0,0,0,0,0
5,1,8.93,0,0,0,0,0,0
5,1,9.94,0,0,0,0,0,0
5,1,10.949,0,0,0,0,0,0
5,1,11.97,0,0,0,0,0,0
5,1,12.976,0,0,0,0,0,0
5,1,13.994,0,0,0,0,0,0
5,1,15.005,0,0,0,0,0,0
5,1,16.012,0,0,0,0,0,0
5,1,17.028,0,0,0,0,0,0
5,1,18.035,0,0,0,0,0,0
5,1,19.074,0,0,0,0,0,0
5,1,20.081,0,0,0,0,0,0
5,1,21.089,0,0,0,0,0,0
5,1,22.095,0,0,0,0,0,0
5,1,23.121,0,0,0,0,0,0
5,1,24.13,0,0,0,0,0,0
5,1,25.136,0,0,0,0,0,0
5,1,26.157,0,0,0,0,0,0
5,1,27.164,0,0,0,0,0,0
5,1,28.173,0,0,0,0,0,0
5,1,29.178,0,0,0,0,0,0
5,1,30.211,0,0,0,0,0,0
5,1,31.217,0,0,0,0,0,0
5,1,32.222,0,0,0,0,0,0
5,1,33.236,0,0,0,0,0,0
5,1,34.246,0,0,0,0,0,0
5,1,35.254,0,0,0,0,0,0
5,1,36.276,0,0,0,0,0,0
5,1,37.289,0,0,0,0,0,0
5,1,38.296,0,0,0,0,0,0
5,1,39.329,0,0,0,0,0,0
5,1,40.334,0,0,0,0,0,0
5,1,41.347,0,0,0,0,0,0
5,1,42.37,0,0,0,0,0,0
5,1,43.38,0,0,0,0,0,0
5,1,44.392,0,0,0,0,0,0
5,1,45.4,0,0,0,0,0,0
5,1,46.414,0,0,0,0,0,0
5,1,47.434,0,0,0,0,0,0
5,1,48.447,0,0,0,0,0,0
5,1,49.456,0,0,0,0,0,0
5,1,50.459,0,0,0,0,0,0
5,1,51.467,0,0,0,0,0,0
5,1,52.484,0,0,0,0,0,0
5,1,53.49,0,0,0,0,0,0
5,1,54.499,0,0,0,0,0,0
5,1,55.514,0,0,0,0,0,0
5,1,56.529,0,0,0,0,0,0
5,1,57.538,0,0,0,0,0,0
5,1,58.544,0,0,0,0,0,0
5,1,59.564,0,0,0,0,0,0
5,1,60.577,0,0,0,0,0,0
5,1,61.585,0,0,0,0,0,0
5,1,62.615,0,0,0,0,0,0
5,1,63.622,0,0,0,0,0,0
5,1,64.63200000000001,0,0,0,0,0,0
5,1,65.642,0,0,0,0,0,0
5,1,66.652,0,0,0,0,0,0
5,1,67.67,0,0,0,0,0,0
5,1,68.678,0,0,0,0,0,0
5,1,69.688,0,0,0,0,0,0
5,1,70.69199999999999,0,0,0,0,0,0
5,1,71.706,0,0,0,0,0,0
5,1,72.72,0,0,0,0,0,0
5,1,73.729,0,0,0,0,0,0
5,1,74.73399999999999,0,0,0,0,0,0
5,1,75.741,0,0,0,0,0,0
5,1,76.75,0,0,0,0,0,0
5,1,77.783,0,0,0,0,0,0
5,1,78.788,0,0,0,0,0,0
5,1,79.794,0,0,0,0,0,0
5,1,80.80200000000001,0,0,0,0,0,0
5,1,81.809,0,0,0,0,0,0
5,1,82.816,0,0,0,0,0,0
5,1,83.821,0,0,0,0,0,0
5,1,84.82899999999999,0,0,0,0,0,0
5,1,85.843,0,0,0,0,0,0
5,1,86.85599999999999,0,0,0,0,0,0
5,1,87.871,0,0,0,0,0,0
5,1,88.89,0,0,0,0,0,0
5,1,89.902,0,0,0,0,0,0
5,1,90.907,0,0,0,0,0,0
5,1,91.911,0,0,0,0,0,0
5,1,92.929,0,0,0,0,0,0
5,1,93.956,0,0,0,0,0,0
5,1,94.977,0,0,0,0,0,0
5,1,95.98699999999999,0,0,0,0,0,0
5,1,96.995,0,0,0,0,0,0
5,1,98.01900000000001,0,0,0,0,0,0
5,1,99.026,0,0,0,0,0,0
5,1,100.033,0,0,0,0,0,0
5,1,101.044,0,0,0,0,0,0
5,1,102.055,0,0,0,0,0,0
5,1,103.065,0,0,0,0,0,0
5,1,104.071,0,0,0,0,0,0
5,1,105.093,0,0,0,0,0,0
5,1,106.101,0,0,0,0,0,0
5,1,107.11,0,0,0,0,0,0
5,1,108.118,0,0,0,0,0,0
5,1,109.136,0,0,0,0,0,0
5,1,110.15,0,0,0,0,0,0
5,1,111.157,0,0,0,0,0,0
5,1,112.178,0,0,0,0,0,0
5,1,113.186,0,0,0,0,0,0
5,1,114.198,0,0,0,0,0,0
5,1,115.216,0,0,0,0,0,0
5,1,116.225,0,0,0,0,0,0
5,1,117.232,0,0,0,0,0,0
5,1,118.238,0,0,0,0,0,0
5,1,119.246,0,0,0,0,0,0
